Name,Docs URL,Number of pages,Example URL,Rendering apps,Navigation document type,Content purpose,User journey,Search user need,Email document type,Government document type,Content Purpose Subgroup,Content Purpose Supergroup
maib_report,https://docs.publishing.service.gov.uk/document-types/maib_report.html,970,https://www.gov.uk/maib-reports/crush-incident-on-general-cargo-vessel-karina-c-with-loss-of-1-life,government-frontend,other,reports,thing,government,other,other,incidents,transparency
mainstream_browse_page,https://docs.publishing.service.gov.uk/document-types/mainstream_browse_page.html,151,https://www.gov.uk/browse/benefits,collections,other,navigation,finding,government,other,other,other,other
manual,https://docs.publishing.service.gov.uk/document-types/manual.html,118,https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19,manuals-frontend,guidance,guidance,thing,government,other,other,guidance,guidance_and_regulation
manual_section,https://docs.publishing.service.gov.uk/document-types/manual_section.html,2063,https://www.gov.uk/guidance/working-safely-during-coronavirus-covid-19/close-contact-services,manuals-frontend,other,guidance,thing,government,other,other,guidance,guidance_and_regulation
map,https://docs.publishing.service.gov.uk/document-types/map.html,421,https://www.gov.uk/government/publications/roads-managed-by-highways-england,government-frontend,guidance,resources,thing,government,publications,maps,guidance,guidance_and_regulation
marine_notice,https://docs.publishing.service.gov.uk/document-types/marine_notice.html,0,,"",other,other,thing,government,other,other,other,other
media_enquiries,https://docs.publishing.service.gov.uk/document-types/media_enquiries.html,49,https://www.gov.uk/government/organisations/department-of-health-and-social-care/about/media-enquiries,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
medical_safety_alert,https://docs.publishing.service.gov.uk/document-types/medical_safety_alert.html,852,https://www.gov.uk/drug-device-alerts/class-2-medicines-recall-kent-pharmaceuticals-ltd-betahistine-dihydrochloride-8mg-and-16mg-tablets-el-20-a-55,government-frontend,other,updates-and-alerts,thing,government,other,other,updates_and_alerts,news_and_communications
membership,https://docs.publishing.service.gov.uk/document-types/membership.html,38,https://www.gov.uk/government/organisations/commission-on-human-medicines/about/membership,government-frontend,other,corporate-info,thing,government,other,other,other,other
military_role,https://docs.publishing.service.gov.uk/document-types/military_role.html,0,,"",other,other,thing,government,other,other,other,other
ministerial_role,https://docs.publishing.service.gov.uk/document-types/ministerial_role.html,435,https://www.gov.uk/government/ministers/prime-minister,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
ministers_index,https://docs.publishing.service.gov.uk/document-types/ministers_index.html,0,,"",other,other,thing,government,other,other,other,other
national,https://docs.publishing.service.gov.uk/document-types/national.html,0,,government-frontend,other,other,thing,government,other,other,other,other
national_statistics,https://docs.publishing.service.gov.uk/document-types/national_statistics.html,10652,https://www.gov.uk/government/statistics/dfi-driver-vehicle-operator-and-enforcement-statistics-2020-21-quarter-2,government-frontend,other,data,thing,government,publications,statistics,statistics,research_and_statistics
national_statistics_announcement,https://docs.publishing.service.gov.uk/document-types/national_statistics_announcement.html,1,https://www.gov.uk/government/statistics/announcements/farming-statistics-provisional-2015-cereal-and-oilseed-rape-production-estimates-united-kingdom,government-frontend,other,updates-and-alerts,thing,government,other,other,statistics,research_and_statistics
need,https://docs.publishing.service.gov.uk/document-types/need.html,0,,info-frontend,other,other,thing,government,other,other,other,other
news_article,https://docs.publishing.service.gov.uk/document-types/news_article.html,1350,https://www.gov.uk/government/world-location-news/175060.zh-tw,whitehall-frontend,other,news,thing,government,other,other,news,news_and_communications
news_story,https://docs.publishing.service.gov.uk/document-types/news_story.html,41224,https://www.gov.uk/government/news/avian-influenza-bird-flu-national-prevention-zone-declared,"government-frontend, whitehall-frontend",other,news,thing,government,announcements,news-stories,news,news_and_communications
notice,https://docs.publishing.service.gov.uk/document-types/notice.html,4113,https://www.gov.uk/government/publications/notice-144-trade-imports-by-post-how-to-complete-customs-documents,"government-frontend, whitehall-frontend",other,engagement-activities,thing,government,publications,notices,guidance,guidance_and_regulation
official,https://docs.publishing.service.gov.uk/document-types/official.html,0,,government-frontend,other,other,thing,government,other,other,other,other
official_statistics,https://docs.publishing.service.gov.uk/document-types/official_statistics.html,12673,https://www.gov.uk/government/statistics/annual-flu-reports,"government-frontend, whitehall-frontend",other,data,thing,government,publications,statistics,statistics,research_and_statistics
official_statistics_announcement,https://docs.publishing.service.gov.uk/document-types/official_statistics_announcement.html,0,,government-frontend,other,updates-and-alerts,thing,government,other,other,statistics,research_and_statistics
open_consultation,https://docs.publishing.service.gov.uk/document-types/open_consultation.html,86,https://www.gov.uk/government/consultations/firearms-safety,government-frontend,other,engagement-activities,thing,government,publications,consultations,consultations,policy_and_engagement
oral_statement,https://docs.publishing.service.gov.uk/document-types/oral_statement.html,647,https://www.gov.uk/government/speeches/pm-statement-on-covid-19-winter-plan-23-november-2020,government-frontend,other,speeches-and-statements,thing,government,announcements,statements,speeches_and_statements,news_and_communications
organisation,https://docs.publishing.service.gov.uk/document-types/organisation.html,0,,"whitehall-frontend, collections",other,organising-entities,finding,government,other,other,other,other
our_energy_use,https://docs.publishing.service.gov.uk/document-types/our_energy_use.html,28,https://www.gov.uk/government/organisations/ministry-of-defence/about/our-energy-use,government-frontend,other,corporate-info,thing,government,other,other,other,other
our_governance,https://docs.publishing.service.gov.uk/document-types/our_governance.html,107,https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency/about/our-governance,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
person,https://docs.publishing.service.gov.uk/document-types/person.html,3958,https://www.gov.uk/government/people/jonathan-van-tam,whitehall-frontend,other,organising-entities,thing,government,other,other,other,other
personal_information_charter,https://docs.publishing.service.gov.uk/document-types/personal_information_charter.html,114,https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service/about/personal-information-charter,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
petitions_and_campaigns,https://docs.publishing.service.gov.uk/document-types/petitions_and_campaigns.html,4,https://www.gov.uk/government/organisations/department-for-international-development/about/petitions-and-campaigns,government-frontend,other,corporate-info,thing,government,other,other,other,other
place,https://docs.publishing.service.gov.uk/document-types/place.html,19,https://www.gov.uk/register-offices,frontend,guidance,transactions,thing,core,other,other,transactions,services
placeholder,https://docs.publishing.service.gov.uk/document-types/placeholder.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
placeholder_ministerial_role,https://docs.publishing.service.gov.uk/document-types/placeholder_ministerial_role.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
placeholder_organisation,https://docs.publishing.service.gov.uk/document-types/placeholder_organisation.html,0,,"",other,other,thing,government,other,other,other,other
placeholder_person,https://docs.publishing.service.gov.uk/document-types/placeholder_person.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
placeholder_policy_area,https://docs.publishing.service.gov.uk/document-types/placeholder_policy_area.html,0,,"",other,other,thing,government,other,other,other,other
placeholder_topical_event,https://docs.publishing.service.gov.uk/document-types/placeholder_topical_event.html,0,,"",other,other,thing,government,other,other,other,other
placeholder_world_location,https://docs.publishing.service.gov.uk/document-types/placeholder_world_location.html,0,,"",other,other,thing,government,other,other,other,other
placeholder_world_location_news_page,https://docs.publishing.service.gov.uk/document-types/placeholder_world_location_news_page.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
placeholder_worldwide_organisation,https://docs.publishing.service.gov.uk/document-types/placeholder_worldwide_organisation.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
policy_area,https://docs.publishing.service.gov.uk/document-types/policy_area.html,0,,whitehall-frontend,other,other,thing,government,other,other,other,other
policy_paper,https://docs.publishing.service.gov.uk/document-types/policy_paper.html,10228,https://www.gov.uk/government/publications/self-employment-income-support-scheme-grant-extension,"government-frontend, whitehall-frontend",other,guidance,thing,government,publications,policy-papers,policy,policy_and_engagement
press_release,https://docs.publishing.service.gov.uk/document-types/press_release.html,29793,https://www.gov.uk/government/news/joint-statement-on-uk-wide-christmas-arrangements-from-the-uk-government-and-devolved-administrations,government-frontend,other,news,thing,government,announcements,press-releases,news,news_and_communications
procurement,https://docs.publishing.service.gov.uk/document-types/procurement.html,65,https://www.gov.uk/government/organisations/ministry-of-defence/about/procurement,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
promotional,https://docs.publishing.service.gov.uk/document-types/promotional.html,825,https://www.gov.uk/government/publications/tier-posters-medium-high-and-very-high,"government-frontend, whitehall-frontend",guidance,resources,thing,government,publications,promotional-material,guidance,guidance_and_regulation
protected_food_drink_name,https://docs.publishing.service.gov.uk/document-types/protected_food_drink_name.html,0,,"",other,other,thing,government,other,other,other,other
publication_scheme,https://docs.publishing.service.gov.uk/document-types/publication_scheme.html,89,https://www.gov.uk/government/organisations/hm-revenue-customs/about/publication-scheme,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
raib_report,https://docs.publishing.service.gov.uk/document-types/raib_report.html,482,https://www.gov.uk/raib-reports/report-14-2020-passenger-train-collision-with-a-derailed-locomotive-at-bromsgrove,government-frontend,other,reports,thing,government,other,other,incidents,transparency
recruitment,https://docs.publishing.service.gov.uk/document-types/recruitment.html,95,https://www.gov.uk/government/organisations/department-for-work-pensions/about/recruitment,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
redirect,https://docs.publishing.service.gov.uk/document-types/redirect.html,0,,"",other,other,thing,government,other,other,other,other
regulation,https://docs.publishing.service.gov.uk/document-types/regulation.html,760,https://www.gov.uk/government/publications/model-articles-for-private-companies-limited-by-shares,government-frontend,guidance,guidance,thing,government,publications,regulations,regulation,guidance_and_regulation
research,https://docs.publishing.service.gov.uk/document-types/research.html,11943,https://www.gov.uk/government/publications/the-national-minimum-wage-in-2020,"government-frontend, whitehall-frontend",other,reports,thing,government,publications,research-and-analysis,research,research_and_statistics
research_for_development_output,https://docs.publishing.service.gov.uk/document-types/research_for_development_output.html,35027,https://www.gov.uk/research-for-development-outputs/implementing-inclusive-education,"",other,other,thing,government,other,other,other,other
residential_property_tribunal_decision,https://docs.publishing.service.gov.uk/document-types/residential_property_tribunal_decision.html,3534,https://www.gov.uk/residential-property-tribunal-decisions/18-thorpe-road-barking-ig11-9xj-lon-00ab-oce-2020-0127,government-frontend,other,other,thing,government,other,other,other,other
role_appointment,https://docs.publishing.service.gov.uk/document-types/role_appointment.html,0,,"",other,other,thing,government,other,other,other,other
search,https://docs.publishing.service.gov.uk/document-types/search.html,0,,finder-frontend,other,navigation,finding,government,other,other,other,other
service_manual_guide,https://docs.publishing.service.gov.uk/document-types/service_manual_guide.html,175,https://www.gov.uk/service-manual/agile-delivery/how-the-discovery-phase-works,service-manual-frontend,other,service-manual,thing,government,other,other,other,other
service_manual_homepage,https://docs.publishing.service.gov.uk/document-types/service_manual_homepage.html,1,https://www.gov.uk/service-manual,service-manual-frontend,other,service-manual,finding,government,other,other,other,other
service_manual_service_standard,https://docs.publishing.service.gov.uk/document-types/service_manual_service_standard.html,1,https://www.gov.uk/service-manual/service-standard,service-manual-frontend,other,service-manual,thing,government,other,other,other,other
service_manual_service_toolkit,https://docs.publishing.service.gov.uk/document-types/service_manual_service_toolkit.html,0,,service-manual-frontend,other,service-manual,thing,government,other,other,other,other
service_manual_topic,https://docs.publishing.service.gov.uk/document-types/service_manual_topic.html,9,https://www.gov.uk/service-manual/agile-delivery,service-manual-frontend,other,service-manual,finding,government,other,other,other,other
service_sign_in,https://docs.publishing.service.gov.uk/document-types/service_sign_in.html,0,,government-frontend,other,other,thing,government,other,other,other,other
service_standard_report,https://docs.publishing.service.gov.uk/document-types/service_standard_report.html,212,https://www.gov.uk/service-standard-reports/dvla-webchat-alpha-assessment,government-frontend,other,reports,thing,government,other,other,decisions,news_and_communications
services_and_information,https://docs.publishing.service.gov.uk/document-types/services_and_information.html,0,,collections,other,corporate-info,finding,government,other,other,other,other
simple_smart_answer,https://docs.publishing.service.gov.uk/document-types/simple_smart_answer.html,32,https://www.gov.uk/sold-bought-vehicle,frontend,guidance,transactions,thing,core,other,other,transactions,services
smart_answer,https://docs.publishing.service.gov.uk/document-types/smart_answer.html,0,,smartanswers,guidance,transactions,thing,core,other,other,transactions,services
social_media_use,https://docs.publishing.service.gov.uk/document-types/social_media_use.html,42,https://www.gov.uk/government/organisations/student-loans-company/about/social-media-use,"government-frontend, whitehall-frontend",other,corporate-info,thing,government,other,other,other,other
special_representative_role,https://docs.publishing.service.gov.uk/document-types/special_representative_role.html,0,,"",other,other,thing,government,other,other,other,other
special_route,https://docs.publishing.service.gov.uk/document-types/special_route.html,3,https://www.gov.uk/find-local-council,"static, publicapi, collections, feedback, whitehall-frontend, email-alert-frontend, frontend, info-frontend, email-campaign-frontend, spotlight, performanceplatform-big-screen-view, finder-frontend, search-api",other,other,thing,government,other,other,other,other
speech,https://docs.publishing.service.gov.uk/document-types/speech.html,8359,https://www.gov.uk/government/speeches/spending-review-2020-speech,"government-frontend, whitehall-frontend",other,speeches-and-statements,thing,government,announcements,speeches,speeches_and_statements,news_and_communications
staff_update,https://docs.publishing.service.gov.uk/document-types/staff_update.html,19,https://www.gov.uk/government/organisations/sellafield-ltd/about/staff-update,"government-frontend, whitehall-frontend",other,updates-and-alerts,thing,government,other,other,other,other
statistical_data_set,https://docs.publishing.service.gov.uk/document-types/statistical_data_set.html,853,https://www.gov.uk/government/statistical-data-sets/unclaimed-estates-list,"government-frontend, whitehall-frontend",other,data,thing,government,publications,statistics,statistics,research_and_statistics
statistics,https://docs.publishing.service.gov.uk/document-types/statistics.html,34,https://www.gov.uk/government/organisations/department-for-education/about/statistics,government-frontend,other,data,thing,government,other,other,statistics,research_and_statistics
